iter	RMSE
0	4699694.83
1	4632142.209
2	4569375.084
3	4502968.767
4	4441299.068
5	4381552.151
6	4326363.47
7	4271039.877
8	4218679.938
9	4163132.249
10	4110646.807
11	4059570.013
12	4010504.653
13	3965493.905
14	3923168.407
15	3880940.262
16	3839865.833
17	3797767.959
18	3757953.701
19	3721689.246
20	3686193.879
21	3651586.6
22	3618769.088
23	3586073.924
24	3553499.551
25	3521765.327
26	3492187.375
27	3463090.304
28	3432727.693
29	3406372.434
30	3383264.558
31	3355519.146
32	3329346.414
33	3303819.605
34	3284023.376
35	3260064.227
36	3237905.901
37	3214994.822
38	3193266.843
39	3171301.223
40	3150926.946
41	3132326.893
42	3114517.583
43	3097835.607
44	3081469.95
45	3063701.321
46	3045536.562
47	3030959.187
48	3014395.958
49	2996754.738
50	2981897.956
51	2966947.842
52	2952379.785
53	2937826.325
54	2923916.92
55	2908419.906
56	2896248.42
57	2884156.501
58	2872812.474
59	2859610.971
60	2848936.463
61	2838977.334
62	2826408.87
63	2815973.326
64	2805736.338
65	2795860.449
66	2784708.234
67	2775644.877
68	2765635.965
69	2755929.307
70	2745741.915
71	2736497.765
72	2727292.924
73	2718121.912
74	2709849.39
75	2701050.747
76	2692221.611
77	2686329.525
78	2678170.739
79	2668988.154
80	2661719.834
81	2653581.752
82	2646084.495
83	2637946.827
84	2630783.159
85	2624702.643
86	2617831.012
87	2611887.036
88	2606074.129
89	2598784.476
90	2593004.213
91	2585981.362
92	2579773.714
93	2573278.901
94	2565763.956
95	2559488.898
96	2554697.715
97	2548744.168
98	2543809.301
99	2538748.986
