iter	Passed	Remaining
0	102	10155
1	148	7284
2	181	5868
3	212	5093
4	250	4763
5	286	4495
6	318	4234
7	346	3985
8	374	3784
9	403	3627
10	429	3478
11	459	3368
12	489	3275
13	538	3309
14	599	3394
15	630	3312
16	682	3330
17	729	3323
18	770	3283
19	810	3240
20	840	3160
21	870	3086
22	908	3041
23	944	2990
24	971	2915
25	1007	2867
26	1045	2825
27	1082	2784
28	1124	2753
29	1170	2730
30	1206	2684
31	1237	2628
32	1270	2580
33	1300	2525
34	1329	2469
35	1365	2428
36	1401	2386
37	1431	2335
38	1474	2306
39	1503	2255
40	1535	2209
41	1580	2182
42	1612	2137
43	1659	2112
44	1688	2063
45	1721	2020
46	1750	1974
47	1782	1930
48	1810	1884
49	1841	1841
50	1872	1799
51	1902	1756
52	1934	1715
53	1988	1694
54	2034	1664
55	2075	1631
56	2118	1598
57	2153	1559
58	2185	1518
59	2216	1477
60	2246	1436
61	2279	1396
62	2308	1356
63	2338	1315
64	2367	1274
65	2400	1236
66	2431	1197
67	2460	1157
68	2488	1117
69	2515	1078
70	2547	1040
71	2576	1001
72	2603	963
73	2635	926
74	2670	890
75	2697	851
76	2728	815
77	2759	778
78	2791	742
79	2832	708
80	2865	672
81	2894	635
82	2922	598
83	2951	562
84	2980	525
85	3009	489
86	3040	454
87	3069	418
88	3096	382
89	3125	347
90	3155	312
91	3185	276
92	3217	242
93	3249	207
94	3284	172
95	3316	138
96	3347	103
97	3380	68
98	3415	34
99	3444	0
